case_id,sheet,level_1_feature,level_2_feature,classification_code,classification,test_result,probe_id,runner_command,returncode,duration_seconds,implementation_entrypoints,supported_boundaries_exclusions,evidence_summary
P22-WF-L2-001,Workflow Features,Ingestion,Request Capture,1,Function implemented and test passed,PASS,wf_intent_capture,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_intent_gateway.py::test_capture_writes_raw_rewritten_ir_and_trace,0,2.216,"harness/solar-harness.sh::intake_request, write_intake_raw_record; harness/lib/intent_gateway.py::capture, deterministic_rewrite, build_requirement_ir; harness/lib/intent_consumer.py::consume_one","Supports textual requests and file/stdin capture. Capture does not itself prove qualification, resolve requirements, or execute the requested work.",Executable representative-core probe passed.
P22-WF-L2-002,Workflow Features,Ingestion,Qualified Channel Signal Intake,3,Function not implemented and test blocked,BLOCKED,,,,0.0,Not found in current codebase. Closest surfaces: `harness/webhook-server.ts`; `harness/lib/policy/action_policy.py`.,"Raw Slack webhook intake exists, but V-05 qualification and permitted-context filtering are absent; raw traffic must not be treated as satisfying this L2.",No direct core implementation was found; adjacent or partial surfaces do not satisfy this L2 contract.
P22-WF-L2-003,Workflow Features,Ingestion,User-Supplied Material Import,1,Function implemented and test passed,PASS,wf_paper_prepare,.\.venv\Scripts\python.exe -m pytest -q tests/plugins/autosci/test_paper_prepare.py::test_prepare_pdf_prefers_arxiv_source_when_recovered,0,1.668,"harness/plugins/autosci/backends/paper_prepare.py::prepare_paper_source, read_paper_source; harness/plugins/autosci/bin/autosci_bridge.py::_read_sample_paper, _native_prepare_paper_source","Current implementation is research-paper oriented. No verified semantic import exists for Office documents, spreadsheets/general datasets, arbitrary repositories, or arbitrary non-arXiv URLs.",Executable representative-core probe passed.
P22-WF-L2-004,Workflow Features,Ingestion,Intake Context Binding,1,Function implemented and test passed,PASS,wf_intent_bind,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_intent_gateway.py::test_bind_copies_intent_artifacts_to_sprint,0,2.592,"harness/lib/workspace_binding.py::bind_active_workspace, sprint_workspace_root; harness/lib/intent_gateway.py::capture, bind_intent_artifacts; harness/lib/intent_consumer.py::consume_one",Binds explicit local workflow context; it does not infer authorization to unrelated workspaces or automatically import arbitrary prior artifacts.,Executable representative-core probe passed.
P22-WF-L2-005,Workflow Features,Ingestion,Real-Time Intake Deduplication & Cleaning,1,Function implemented and test passed,PASS,wf_intent_consume,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_intent_consumer.py::test_consumer_compiles_rawintent_to_sprint_package,0,4.921,harness/lib/intent_consumer.py::consume_one; harness/tools/codex_pm_router.py::_normalized_text; harness/lib/intent_gateway.py::capture,"Same-intent idempotence is supported. Cross-intent replay detection, exact/near duplicate merging, revision preservation, and corroboration tracking are not found.",Executable representative-core probe passed.
P22-WF-L2-006,Workflow Features,Ingestion,Intake Provenance Registration,1,Function implemented and test passed,PASS,wf_intent_capture,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_intent_gateway.py::test_capture_writes_raw_rewritten_ir_and_trace,0,2.216,"harness/lib/intent_gateway.py::capture, build_requirement_ir, bind_intent_artifacts; harness/solar-harness.sh::write_intake_raw_record",Strong for local intake capture and derived-artifact lineage; it is not a universal content-addressed provenance ledger for every external provider transformation.,Executable representative-core probe passed.
P22-WF-L2-007,Workflow Features,Ingestion,Intake Qualification,1,Function implemented and test passed,PASS,wf_intake_qualification,.\.venv\Scripts\python.exe -m pytest -q tests/harness/livework/test_intake_state_machine.py::TestHappyPath::test_full_happy_path,0,2.058,"harness/lib/livework/intake_state_machine.py::intake_requirement, IntakeFSM; harness/lib/livework/schemas.py::RequirementIntakePayload, RequirementIntake; harness/tools/codex_pm_router.py::validate_compiled_package","Covers structural completeness and workflow accessibility. It does not deeply verify truth, malware safety, all file readability, or channel-specific authorization.",Executable representative-core probe passed.
P22-WF-L2-008,Workflow Features,Requirement compilation,Intent Interpretation,1,Function implemented and test passed,PASS,wf_pm_build,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_build_pm_intake_emits_capsule_plan_for_standard_request,0,3.56,"harness/tools/codex_pm_router.py::build_pm_intake, _build_requirement_items; harness/lib/intent_gateway.py::deterministic_rewrite, build_requirement_ir",Deterministic interpretation supports planning but does not select an opportunity or prove the user’s unstated intent.,Executable representative-core probe passed.
P22-WF-L2-009,Workflow Features,Requirement compilation,Context Scoping,1,Function implemented and test passed,PASS,wf_pm_build,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_build_pm_intake_emits_capsule_plan_for_standard_request,0,3.56,"harness/tools/codex_pm_router.py::build_pm_intake, _default_non_goals, _node_enrichment; harness/lib/workspace_binding.py; harness/lib/plan_validator.py",Current scoping is strong for repository/workspace and task boundaries; rich domain entity/time-horizon modeling is mostly free text.,Executable representative-core probe passed.
P22-WF-L2-010,Workflow Features,Requirement compilation,Ambiguity Resolution,1,Function implemented and test passed,PASS,wf_pm_build,.\.venv\Scripts\python.exe -m pytest -q tests/harness/test_codex_pm_router.py::test_build_pm_intake_emits_capsule_plan_for_standard_request,0,3.56,"harness/tools/codex_pm_router.py::_derive_assumptions, _derive_open_questions, build_pm_intake, validate_compiled_package",Explicit assumption/open-question generation exists; focused user questioning and conflict-resolution dialogue are not fully automated as a standalone feature.,Executable representative-core probe passed.
