relative_path,filename,category,extension,size_bytes,sha256
files/5.19 ai4research flow.txt,5.19 ai4research flow.txt,Other Solar Harness source,.txt,2030,bfd6c82c37eb2f8340d2255925515fdf417293014967031c4e9cf2fbd9f3c4e5
files/AI4Research/ai4research final l1 l2 feature deliverable.xlsx,ai4research final l1 l2 feature deliverable.xlsx,Current feature deliverable,.xlsx,41878,6ccbccff262bb5a121a586822cc184c6126abe79e21764cd548f216fe6b375ac
files/AI4Research/solar_harness_source_inventory_2026-07-16.md,solar_harness_source_inventory_2026-07-16.md,"Plans, manifests, and status documents",.md,13227,6b6586b0fcf14e126fc8d2fe9d06f4c07d694fc3af9ab9f37994088a3a96a70f
files/AI4Research_Planning_Report_Enhanced.docx,AI4Research_Planning_Report_Enhanced.docx,Feature inventory and QA,.docx,64360,78cd71b6de76093dc9bb6ba24466c714a82b9d0cc978379445eb931e47979b16
files/AI4Research_Solar_RSI_汇报版_逻辑顺序最终版_深度分析主干重构版.html,AI4Research_Solar_RSI_汇报版_逻辑顺序最终版_深度分析主干重构版.html,Feature inventory and QA,.html,283787,c8186365c308e4f9e63478f48d5c29e3272bbe95a6c19a21b73ec432fb5829df
files/AI时代技术创新与技术规划中的AI4Research闭环实践报告.docx,AI时代技术创新与技术规划中的AI4Research闭环实践报告.docx,Technical and project reports,.docx,124467,7f8ee5f1138c0323d8975aafe593e5a3492f09e04742d901da8e1f2724970fd4
files/AUTOSCI_SOLAR_INFO_REPORT.md,AUTOSCI_SOLAR_INFO_REPORT.md,Raw evidence and extraction,.md,19226,573486ca45c06f21da05bb9b2fa73b367a700839bac511131ef540acb2cd30b3
files/AutoSci_Solar_100_Percent_Parity_Fast_Track_Coding_Agent_Prompt.md,AutoSci_Solar_100_Percent_Parity_Fast_Track_Coding_Agent_Prompt.md,Coding-agent and review prompts,.md,23686,da95597148dfc8071d0f21cbe7ba80bf3cb49a2990484bb5e983f3a7d3d11c34
files/AutoSci_Solar_Info_Gathering_Coding_Agent_Prompt.md,AutoSci_Solar_Info_Gathering_Coding_Agent_Prompt.md,Coding-agent and review prompts,.md,34820,d63d4f7a8b0defbcbb20de36b70c25e95e82071a3ba5dccc27716e0f51dce6b2
files/AutoSci_Solar_Native_ChatGPT_Check_Status_Report.md,AutoSci_Solar_Native_ChatGPT_Check_Status_Report.md,"Plans, manifests, and status documents",.md,27248,65d604065d3549aae8331d8fc5c52d356e4ea2685ed2b8aa8a15bd40e6134471
files/AutoSci_Solar_Native_Migration_Master_Handoff_2026-06-26.md,AutoSci_Solar_Native_Migration_Master_Handoff_2026-06-26.md,"Plans, manifests, and status documents",.md,156216,9ea49b252fbc605728f138e820a2eb9024455b87cdc67df7ad6355ae8b9033fe
files/AutoSci_Solar_Parity_Recheck_and_Coding_Agent_Execution_Plan_2026-06-29.md,AutoSci_Solar_Parity_Recheck_and_Coding_Agent_Execution_Plan_2026-06-29.md,"Plans, manifests, and status documents",.md,24836,3185808f2f1aac92f1bbb3fb5242f981bddeade4d781f9410db58af6e311c16e
files/AutoSci_Solar_Prioritized_Integration_Plan_2026-06-30.md,AutoSci_Solar_Prioritized_Integration_Plan_2026-06-30.md,"Plans, manifests, and status documents",.md,31003,2109a0c5e679964f9ebe044bb03ee3848310fc9e447a44cda64601a9acf4dba3
files/DO_Agent_A_Unification_Hardening.md,DO_Agent_A_Unification_Hardening.md,Coding-agent and review prompts,.md,14353,4798757e3e288aafddf77ba02cff5f554d440a2d83eb44b07d3aa4e0bed96fed
files/DO_Agent_B_Full_Parity.md,DO_Agent_B_Full_Parity.md,Coding-agent and review prompts,.md,12804,aade46a7a2bcbc6589236e77e87e417cc61d0dbc79bcfc68bf936105a636db6c
files/First-Draft-of-Technical-Report-Template(1).docx,First-Draft-of-Technical-Report-Template(1).docx,Technical and project reports,.docx,196801,a5679b4beea3eae3d169da719cd504fcad04233eb637325ca5c950623cfee8c5
files/First-Draft-of-Technical-Report-Template.docx,First-Draft-of-Technical-Report-Template.docx,Technical and project reports,.docx,41777,ea7592c26131fdf9d59cfba3335a690345b693d7fdea78eb8ed69237915e8afb
files/Parallel_AutoSci_Solar_Agent_Coordination.md,Parallel_AutoSci_Solar_Agent_Coordination.md,Coding-agent and review prompts,.md,3732,9a0aff72f6f16632c1ea4b8fadc5f7da34d3aec84f4b17878936a061f6e4c37f
files/Pasted text.txt,Pasted text.txt,Raw evidence and extraction,.txt,19727,9b20d5c29fdc15739e580fee2a5b32df6eae1c349a8b73fe467514baa5a0d795
files/Prompt_A_Solar_Unification_Agent.md,Prompt_A_Solar_Unification_Agent.md,Coding-agent and review prompts,.md,21914,16727c4e852dea702dcbe80085819c131223fa1cca57831de610d41c73d01a25
files/Prompt_B_AutoSci_Full_Parity_Agent.md,Prompt_B_AutoSci_Full_Parity_Agent.md,Coding-agent and review prompts,.md,18484,705b73df5181f0a3435a2f73171e524782540b84dce43eba6fb365e775d10770
files/Second-Draft-of-Technical-Report.docx,Second-Draft-of-Technical-Report.docx,Technical and project reports,.docx,117700,db10a587805ccf49c254ee41e6cdf0ac49d5fb8091f84c6a2f60591e953ea1c3
files/Second-Draft-of-Technical-Report_Revised.docx,Second-Draft-of-Technical-Report_Revised.docx,Technical and project reports,.docx,185661,cdeef60e9b2ce0dc1bb8befcdd85bb29b6b139ee584dc337350df7f10301f7e9
files/Section 1: Drafting a Technical Report.pdf,Section 1: Drafting a Technical Report.pdf,Supporting report guidance,.pdf,1775070,b51498ebced608f6016e46900a62adfd9ad8e5ef034aff564b1523f4ac87100b
files/Section 1: The Structure of a Technical Report.pdf,Section 1: The Structure of a Technical Report.pdf,Supporting report guidance,.pdf,209722,0f4ec965cb5020836e8e6d128ea7fba224a10d33669b0943f19cda6f06e8233a
files/Solar_Harness_Architecture_OnePage(1).pptx,Solar_Harness_Architecture_OnePage(1).pptx,Architecture and visual artifacts,.pptx,47543,191d6cb66387010384b8bf323f49a0818fc9d1e7f97945c0c460d0ef3669c225
files/Solar_Harness_Architecture_OnePage.pptx,Solar_Harness_Architecture_OnePage.pptx,Architecture and visual artifacts,.pptx,32895,8fd435a970c23b2e2afe15931ae13829c57e0ffd8eaab66420278ad496535bf8
files/Solar_Native_AutoSci_Technical_Report_Draft.docx,Solar_Native_AutoSci_Technical_Report_Draft.docx,Technical and project reports,.docx,192613,546cf52e6ef581caf3bbe2dfd9b53a49a5c7de9a79568e012e3e3b53a9c9d877
files/Solar_Native_AutoSci_Technical_Report_PD11_Operator_Assimilation.docx,Solar_Native_AutoSci_Technical_Report_PD11_Operator_Assimilation.docx,Technical and project reports,.docx,182852,1463f677208cb7f0e3d8c1e0de2c20b6128dcb28de91104d16a84f08615dd6d1
files/Solar_Native_AutoSci_Technical_Report_PD11_Revised(1).docx,Solar_Native_AutoSci_Technical_Report_PD11_Revised(1).docx,Technical and project reports,.docx,120418,e1a2269f93090b958dbe807e51f350e3c4f2a04a6547c332403dc5416b4ff5d5
files/Solar_Native_AutoSci_Technical_Report_PD11_Revised.docx,Solar_Native_AutoSci_Technical_Report_PD11_Revised.docx,Technical and project reports,.docx,120418,e1a2269f93090b958dbe807e51f350e3c4f2a04a6547c332403dc5416b4ff5d5
files/ai4research_coding_agent_qa_control_pack.docx,ai4research_coding_agent_qa_control_pack.docx,Feature inventory and QA,.docx,41603,842d17b32ebe2de3a7610315d17d44b33f6f1993ff12a7650c214bb22a0ef142
files/ai4research_fixture_set_instructions.md,ai4research_fixture_set_instructions.md,Feature inventory and QA,.md,3393,a819db3f2977250f096bc2a067f2bcf9b0dd05d8d5d3abcf4a9527a8182df31e
files/ai4research_qa_agent_package.zip,ai4research_qa_agent_package.zip,Feature inventory and QA,.zip,1226154,8e33ce371e8fd2d5d39b72fcb3bbb976ef5391a83ccf48d8aee1ec95aa435cdd
files/ai4research_recursive_feature_split.xlsx,ai4research_recursive_feature_split.xlsx,Feature inventory and QA,.xlsx,126584,d65ffc5d5e63ff9b1fd41c3d11bbc979ebfc8b31f16f8580506209b2cb40fd69
files/ai4research_recursive_feature_split_qa_execution.xlsx,ai4research_recursive_feature_split_qa_execution.xlsx,Feature inventory and QA,.xlsx,1228842,80432dffecfa896a7ff34aa70545232441ef584f445356ad36cfc073afd74403
files/ai4research_restructured_feature_workbook(1).xlsx,ai4research_restructured_feature_workbook(1).xlsx,Feature inventory and QA,.xlsx,319749,2733ed1b072eb2dbb62531d8fd5fdeb4cb9fa4c9157273611c9de11e3642ab99
files/ai4research_restructured_feature_workbook.xlsx,ai4research_restructured_feature_workbook.xlsx,Feature inventory and QA,.xlsx,299434,4540553243b15d791462d8e3d571c4c8382718ae3e2d83307c5c391148817f19
files/ai4research_restructured_feature_workbook_annotated_zh.xlsx,ai4research_restructured_feature_workbook_annotated_zh.xlsx,Feature inventory and QA,.xlsx,434418,7755782ec7b23a129cb5e9fe2c878116e9f65eb323f55bca0bf8eee99dc9803d
files/ai4research_restructured_feature_workbook_annotated_zh_action.xlsx,ai4research_restructured_feature_workbook_annotated_zh_action.xlsx,Feature inventory and QA,.xlsx,435257,b9eaa5ae9e203f7890c9f906dc1f851929fa9519bfd734cc78494e3f95c18acc
files/ai4research_restructured_feature_workbook_updated.xlsx,ai4research_restructured_feature_workbook_updated.xlsx,Feature inventory and QA,.xlsx,309988,3aec8ce64d36e45d8f81da931f05a634942f4d4d30601456a8f7fc6bc6c87dd9
